tree_cover,nbart_blue_temporal_median,nbart_blue_temporal_std,nbart_blue_focal_mean,nbart_blue_focal_std,nbart_green_temporal_median,nbart_green_temporal_std,nbart_green_focal_mean,nbart_green_focal_std,nbart_red_temporal_median,nbart_red_temporal_std,nbart_red_focal_mean,nbart_red_focal_std,nbart_red_edge_1_temporal_median,nbart_red_edge_1_temporal_std,nbart_red_edge_1_focal_mean,nbart_red_edge_1_focal_std,nbart_red_edge_2_temporal_median,nbart_red_edge_2_temporal_std,nbart_red_edge_2_focal_mean,nbart_red_edge_2_focal_std,nbart_red_edge_3_temporal_median,nbart_red_edge_3_temporal_std,nbart_red_edge_3_focal_mean,nbart_red_edge_3_focal_std,nbart_nir_1_temporal_median,nbart_nir_1_temporal_std,nbart_nir_1_focal_mean,nbart_nir_1_focal_std,nbart_nir_2_temporal_median,nbart_nir_2_temporal_std,nbart_nir_2_focal_mean,nbart_nir_2_focal_std,nbart_swir_2_temporal_median,nbart_swir_2_temporal_std,nbart_swir_2_focal_mean,nbart_swir_2_focal_std,nbart_swir_3_temporal_median,nbart_swir_3_temporal_std,nbart_swir_3_focal_mean,nbart_swir_3_focal_std,EVI_temporal_median,EVI_temporal_std,EVI_focal_mean,EVI_focal_std,NDVI_temporal_median,NDVI_temporal_std,NDVI_focal_mean,NDVI_focal_std,GRNDVI_temporal_median,GRNDVI_temporal_std,GRNDVI_focal_mean,GRNDVI_focal_std,y,x,tile_id,year
1.0,223.0,106.021774,223.46297,6.484131,317.0,94.75221,329.03705,10.8073225,250.5,110.395294,262.91974,13.382858,501.5,109.3597,515.3333,14.123286,1265.0,102.18787,1264.9877,47.63727,1391.5,122.19994,1396.3457,46.519356,1479.0,130.9115,1475.4753,64.97445,1537.5,140.2282,1530.6296,58.00635,913.0,198.11794,989.43823,60.575924,475.0,114.21678,518.8025,36.662888,2.19967,0.6757028,2.1281264,0.11145426,0.7095553,0.0757571,0.6943435,0.0116060395,0.68796253,0.03899808,0.6783117,0.011629568,6089965.0,702815.0,g2_017_binary_tree_cover_10m,2020
1.0,225.5,95.054016,218.9321,8.537336,331.5,87.85708,323.42593,14.726422,296.5,112.88909,273.48148,18.296795,531.5,109.758804,528.9691,19.08069,1265.5,111.35338,1289.1914,31.112476,1396.0,129.09949,1441.1605,50.34819,1421.5,151.73691,1509.7777,76.95112,1538.0,147.54465,1589.6666,56.64503,1067.0,214.67906,1055.4814,53.204163,580.0,133.04158,556.3765,37.460617,1.8491409,0.46879348,1.9983956,0.116629876,0.65591097,0.07642421,0.6887239,0.016900407,0.67357445,0.03702966,0.6902622,0.011587079,6089965.0,702855.0,g2_017_binary_tree_cover_10m,2020
1.0,209.5,94.49037,212.85185,6.5296435,320.0,89.935936,319.37656,10.1224985,284.5,119.068756,282.12344,15.645449,553.5,128.90924,543.679,24.009758,1343.5,141.63213,1321.0,17.810642,1531.5,143.37549,1499.3209,25.935888,1598.5,165.74068,1573.5123,39.817272,1712.5,163.2321,1662.7963,34.77767,1138.0,210.79834,1081.7902,59.565437,600.0,123.957115,565.38885,42.223576,1.8653445,0.2773644,1.9032009,0.098847054,0.6953889,0.0759724,0.6928705,0.012446954,0.7089172,0.034706358,0.7049945,0.004001951,6089985.0,702915.0,g2_017_binary_tree_cover_10m,2020
1.0,214.0,98.38609,213.59259,6.428377,316.5,91.00884,322.7037,13.258025,279.5,108.8064,287.4568,18.305805,570.0,113.63392,555.9074,29.134274,1338.5,147.74646,1327.3334,19.870943,1516.5,132.15254,1503.5925,31.578945,1553.0,145.11617,1581.5186,42.617058,1702.5,145.27838,1671.2963,40.75396,1133.0,168.0151,1092.0741,60.3999,585.5,95.6903,567.76544,35.29554,1.9050715,0.47429305,1.8774271,0.09215163,0.6973742,0.074723154,0.69105864,0.011830053,0.7039722,0.040378258,0.7032974,0.0048587383,6089985.0,702945.0,g2_017_binary_tree_cover_10m,2020
1.0,218.0,98.98524,217.59877,6.955532,334.5,86.42455,326.83334,13.090719,282.0,102.13799,286.3395,20.52301,568.0,108.528114,557.8642,28.405243,1328.0,143.49052,1321.0247,20.169737,1519.0,127.04,1492.1975,29.55404,1596.0,136.80498,1577.1975,52.15647,1678.0,139.46413,1661.6359,39.540203,1088.0,165.09581,1098.9753,65.14534,565.5,97.892715,571.4074,36.476948,1.9176466,0.45405602,1.9061034,0.10470875,0.69766694,0.077508494,0.6899197,0.01403945,0.695494,0.039592944,0.6988923,0.0042977678,6089965.0,702975.0,g2_017_binary_tree_cover_10m,2020
1.0,219.5,99.5553,292.39505,99.13735,328.0,88.26906,439.11728,164.42334,290.5,102.149345,448.17902,217.98541,563.0,110.39591,763.91974,247.64064,1314.0,128.94374,1508.3148,262.68002,1504.5,129.19827,1689.9198,267.20566,1608.5,134.5942,1805.3148,306.90906,1671.5,140.22166,1890.395,292.5652,1138.5,173.8055,1491.8334,420.0078,594.5,98.09292,849.8765,305.03348,1.8348836,0.37669167,1.5818391,0.3748162,0.6905985,0.07477413,0.6161383,0.088449866,0.70397526,0.0397233,0.6788852,0.0307809,6089975.0,703015.0,g2_017_binary_tree_cover_10m,2020
1.0,442.0,134.05746,442.01236,88.67031,681.0,132.0488,689.49384,157.24011,646.5,233.26006,703.179,158.1938,1108.0,152.2533,1191.0927,263.2772,2201.0,290.33328,2104.0557,431.09253,2291.0,361.87787,2303.8333,440.1394,2497.5,438.6523,2496.105,474.3875,2625.0,380.70306,2583.5557,491.7638,2059.0,504.87436,2280.8582,472.98566,1123.5,438.74387,1389.8334,335.9574,1.5091687,0.38434076,1.3629583,0.2387588,0.5782845,0.1204819,0.56420404,0.05857744,0.6410952,0.037132725,0.6542192,0.020131202,6089985.0,703065.0,g2_017_binary_tree_cover_10m,2020
0.0,548.0,137.14293,525.0741,78.15282,876.0,148.0404,813.1975,129.20404,877.0,249.66107,853.1605,169.48288,1510.0,230.75513,1376.4259,166.1312,2451.0,390.35287,2284.994,294.62994,2552.5,349.73544,2486.9197,296.62106,2877.0,387.31766,2696.0122,362.27365,2910.0,354.37952,2794.1235,323.50467,2955.0,588.7779,2686.7593,269.00568,1852.0,571.86523,1724.8271,234.55222,1.2816455,0.31838042,1.2461466,0.25219846,0.54289246,0.115073375,0.525926,0.07598422,0.6389419,0.03572275,0.63662344,0.025035812,6089975.0,703105.0,g2_017_binary_tree_cover_10m,2020
0.0,576.0,95.58371,533.0,98.6551,812.0,122.87994,795.12964,161.80159,1056.5,155.84607,904.7716,215.48247,1364.5,169.94672,1342.6666,157.51218,1962.5,195.4409,2028.1543,184.74753,2177.0,205.37788,2226.2715,179.00699,2418.0,221.01192,2389.1667,269.39206,2461.5,220.9191,2505.179,198.61588,2731.5,332.73682,2696.2285,196.57794,2013.5,302.89374,1808.0371,205.92978,0.7823481,0.12552515,1.0187979,0.25017524,0.39455655,0.048617486,0.4585543,0.07884105,0.6192428,0.027658898,0.6185407,0.030393759,6089985.0,703145.0,g2_017_binary_tree_cover_10m,2020
0.0,489.0,117.53177,475.0,57.684544,719.5,129.25516,681.46295,109.27384,814.0,206.2107,771.59875,110.17379,1234.0,161.34221,1158.3766,146.28789,1872.5,193.9729,1783.5802,201.82399,2076.0,179.22906,1953.7716,215.70169,2119.5,223.83835,2094.1357,272.39844,2346.0,206.27205,2210.8582,235.8562,2583.5,429.93228,2428.7407,226.04372,1678.5,408.42444,1565.7963,186.92957,0.96048105,0.26193327,1.046782,0.12755966,0.44000924,0.08212497,0.46228844,0.040077914,0.60341907,0.027133904,0.6170953,0.018056646,6089965.0,703195.0,g2_017_binary_tree_cover_10m,2020
